geo,name,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.494,,,,1.692,,7.915,,,11.184,,,11.71,5.679,,,,
ago,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,14.9,18.9,,,,,,,,,,,,,,,,,,23.643,,,,,3.782,9.43,16.77,,,9.579,,,,,16.497,,15.799,14.124,,,
alb,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.1,3.6,4.4,5.7,6.7,6.4,6.1,7,7.3,9.5,9.1,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.4,4.615,15,14.4,6.566,13.8,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669,,
are,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,1.15,,,,,,,,,,1.8,,,,,2.25,,,,,3.12,,,,,,,,,,,1.64,2.462,2.236,2.331,4.294,3.105,2.872,2.151,,
arg,Argentina,,,,,,,,,,,,,,,,,,,,,,,,4.8,6,6.6,5.6,3.4,2.3,4.5,2.8,2.8,2,2.3,4.5,4.73,4.17,3.54,5.3,4.4,5.3,6,7.3,7.06,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,,,8.347,9.22,9.843,11.461,8.736,6.805,6.139,7.15,
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,5.3,6.6,6.7,9.3,10.8,9.4,11.2,,,,,,,,10.394,22.974,19.295,19.523,18.884,17.511,16.576,17.498,18.261,17.617,17.704,10.589,9.794,8.055,8.418,8.262,8.298,,
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,20.46,19.46,19.45,20.69,,,,,,,,,,,,,,,6,,,,,,,,,,8.42,,,,,,,,,,,,,,,,,8.78,,,,,5.37,,
aus,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.265,6.105,5.784,7.163,9.961,8.987,8.258,8.081,8.106,7.226,6.175,6.926,9.586,10.733,10.879,9.724,8.473,8.509,8.367,7.684,6.876,6.288,6.747,6.375,5.933,5.399,5.036,4.785,4.381,4.242,5.565,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.345,5.143,6.394,5.022,3.728,3.668,3.942,
aut,Austria,,,,,,,,,,,,,,,,,,,,,,,2.8,2.4,1.5,1.3,1.2,1.3,2,2,1.8,2.1,2,1.9,2.06,3.35,4.11,3.8,3.6,3.12,3.79,3.55,3.14,3.25,3.42,3.59,4.25,3.535,4.345,5.282,5.15,5.483,4.699,4.687,4.007,4.852,4.779,5.969,5.682,5.32,4.909,4.198,5.371,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264,5.2,
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.17,0.52,0.65,0.8,0.9,1.03,1.13,16.25,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,5,7.24,6.04,5.65,,,
