geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
afg,Afghanistan,4.35615,4.38303,4.255,4.23829,4.23198,4.15528,4.01697,3.95192,3.86412,3.66025,3.58878,3.68337,3.63912,3.61291,3.54102,3.46069,3.46679,3.55563,3.55774,3.52831,3.49391,3.59542
ago,Angola,9.11515,8.47953,8.23169,8.8836,8.91894,8.32302,8.58974,7.99588,7.50081,7.24214,6.89468,6.95112,6.79033,6.87989,6.36027,6.55582,6.48586,6.4693,7.15116,7.52046,7.40921,8.11378
alb,Albania,4.7805,4.19208,4.28382,4.46889,4.44481,6.79668,6.88227,7.02967,7.09477,7.01951,6.76582,6.91202,4.49102,4.4986,4.25204,4.13076,4.02533,3.91351,3.82535,3.78342,3.35507,2.7547
are,UAE,2.44955,2.40854,2.27181,2.17363,2.16884,2.20869,2.20056,1.96796,2.13211,2.35056,2.54456,2.62402,2.67193,2.59969,2.46072,2.4676,2.37987,2.48125,2.51452,2.46284,2.37788,1.70659
arg,Argentina,9.16712,10.33128,10.31487,9.73933,8.74717,8.64306,8.61028,8.30691,8.66866,8.43997,8.54167,8.62889,9.28402,8.80696,9.52593,8.77289,8.40539,9.02866,9.32674,9.27967,8.1218,7.93811
arm,Armenia,3.54505,3.20517,3.60602,2.81176,3.92253,4.24662,6.03607,5.98469,4.83262,4.74026,6.8827,6.72146,7.56367,6.46843,6.3587,6.11294,6.00463,3.20991,2.32262,2.69734,2.17875,2.45847
atg,Antigua and Barbuda,2.04436,2.01303,1.38015,1.33483,1.81229,1.33919,0.46941,0.37551,0.28539,,,,,,0.46742,0.46916,0.58012,,,,0.77336,1.45599
aus,Australia,12.82553,13.03573,12.15223,11.07803,10.78504,11.66995,11.21219,11.49788,12.1038,11.64501,12.13409,11.56907,12.15989,11.92302,13.093,13.64481,12.5032,13.89943,13.40378,13.98477,13.03076,13.0757
aut,Austria,19.75339,18.50805,19.41328,17.98956,17.38307,17.22405,16.27586,15.97507,15.72352,15.8401,16.05188,16.26019,16.16859,16.09023,16.58685,16.06662,15.63208,15.49871,15.70386,14.58398,13.99738,14.51307
aze,Azerbaijan,2.47562,2.4963,2.58371,2.79872,2.82595,3.19253,3.15153,2.97173,3.01757,2.79799,2.7629,2.72642,2.49316,2.25876,2.12818,1.99577,1.90638,1.88532,1.79525,1.83292,3.23114,1.55886
bdi,Burundi,10.9303,10.31957,9.82127,9.36143,9.02145,8.41991,8.14947,7.66903,7.23824,7.28705,7.31448,7.20615,7.07416,7.04441,7.07799,6.88431,6.98255,6.97722,6.93862,6.88138,6.67431,7.65168
bel,Belgium,22.06645,22.25492,20.96137,21.44371,20.31948,20.66397,20.28559,18.73565,20.23714,20.56384,20.52935,21.21335,20.89961,19.61949,19.41666,18.60678,19.21829,18.40323,18.57659,18.1104,16.88794,18.36102
ben,Benin,6.69739,6.62124,6.84801,6.76671,6.79441,6.76492,6.74913,6.77424,7.01397,7.24243,7.36828,7.43514,7.42161,7.33748,7.29418,7.39121,7.31965,7.2571,7.20569,7.22707,6.89355,7.12388
bfa,Burkina Faso,9.03834,9.12591,8.85036,8.7698,8.68672,8.57446,8.56656,8.47183,8.57294,8.65043,8.69207,8.54921,8.94587,9.0009,8.86105,8.84057,8.82963,8.7624,8.64182,8.44706,8.30069,8.49869
bgd,Bangladesh,4.80534,4.66727,4.56558,4.39039,4.11511,4.23275,4.29861,4.10106,3.94317,3.91014,3.72001,3.28984,3.11671,3.02204,3.00749,2.96653,2.98126,3.08578,3.05875,3.08083,2.80967,2.81182
bgr,Bulgaria,18.22021,17.30853,17.32648,14.9748,14.17071,13.2427,13.29684,12.37329,13.05868,12.30299,12.39917,11.06691,12.63208,10.57558,10.56602,9.95401,9.71233,10.3488,9.72825,9.02124,10.03017,9.5109
bhr,Bahrain,10.84957,10.99441,10.25483,10.4627,10.17487,9.48312,7.44923,7.14905,6.7899,6.00112,5.60263,5.54955,5.78617,5.58608,5.61656,5.27012,5.82355,6.00125,5.97147,5.37217,5.47822,4.65901
bhs,Bahamas,3.50048,3.26657,3.03577,3.26934,3.43084,3.13026,3.34811,3.2337,3.29789,3.48192,3.83368,3.80774,3.58825,3.40142,3.58804,3.42045,3.65062,3.64566,3.44933,3.60855,3.10471,3.25253
bih,Bosnia and Herzegovina,10.98351,10.81049,10.83387,10.57336,10.45641,10.83119,10.69204,11.47947,10.78334,10.73002,10.46903,10.52957,10.26167,10.53006,10.39695,10.62754,10.52472,10.50516,10.40443,10.90849,9.76505,8.97169
blr,Belarus,39.50342,39.31091,40.31967,40.28691,40.36923,40.51841,37.47523,34.04988,36.28929,36.37466,34.16435,34.48311,28.49462,25.51476,23.6081,21.91611,20.88461,18.95358,18.66783,17.52073,16.27145,15.61154
blz,Belize,6.64297,5.53174,5.31765,5.53023,6.18588,4.91739,5.00569,4.58535,4.61415,5.87301,6.44526,6.74998,6.45533,6.2561,5.8434,5.71498,5.44839,6.25002,5.5768,5.02205,3.70021,4.17652
